winner_age,winner_id
23.2,207830
31.9,105902
27.5,111454
19.3,210506
30.3,106233
25.7,127760
23.2,207830
25.3,206499
29.8,106296
31.9,105902
27.5,123755
27.5,111454
19.3,210506
31.3,106043
30.3,106233
22.0,206748
25.7,127760
26.6,202195
30.9,106121
27.5,144817
29.9,106281
26.4,126964
27.5,123828
22.5,202261
27.5,144817
29.9,106281
21.9,208882
26.4,126964
21.9,209279
28.4,126239
24.7,200443
31.0,106109
23.0,207680
20.5,210317
28.4,126239
24.7,200443
26.9,126523
31.0,106109
23.6,202354
23.8,205734
23.0,207680
19.3,210506
26.6,126214
26.9,124186
19.6,209414
19.5,211638
19.3,210506
24.1,200516
26.6,126214
26.9,124186
31.6,106005
19.6,209414
26.6,144719
26.8,144826
28.1,126106
22.9,207213
18.4,209976
21.6,207925
28.9,133975
24.5,144973
24.2,200436
20.5,208659
27.5,144817
27.8,126409
26.6,202195
23.3,200384
23.2,202320
22.6,208021
26.8,144750
25.9,200335
23.6,207411
30.5,109686
24.5,200116
23.0,208859
24.7,200610
30.7,106177
26.5,200240
25.3,206499
26.5,126964
22.8,209262
20.6,208278
33.1,105676
28.9,126129
32.8,105732
22.3,209113
30.5,106198
21.9,208004
31.8,105943
18.3,210150
20.4,209098
20.1,209406
26.6,117357
21.1,208260
31.4,106045
25.8,127760
23.2,200484
28.7,109303
32.3,105836
29.8,106310
31.6,106000
22.1,206748
20.4,208134
22.9,208013
30.7,106167
24.6,200267
26.1,144684
34.5,105357
19.3,210399
26.4,111576
22.0,209279
29.2,123983
22.6,208233
22.1,207182
29.9,106293
28.6,131934
25.4,200218
23.2,207681
26.8,144826
18.4,209976
21.6,207925
24.5,144973
20.5,208659
27.8,126409
23.3,200384
26.8,144750
23.6,207411
24.5,200116
24.7,200610
26.5,200240
25.3,206499
20.6,208278
33.1,105676
22.3,209113
21.9,208004
18.3,210150
20.1,209406
26.6,117357
25.8,127760
28.7,109303
29.8,106310
22.1,206748
22.9,208013
24.6,200267
26.1,144684
26.4,111576
22.0,209279
22.1,207182
28.6,131934
25.4,200218
18.4,209976
21.6,207925
27.8,126409
26.8,144750
23.6,207411
26.5,200240
25.3,206499
33.1,105676
18.3,210150
26.6,117357
25.8,127760
22.1,206748
22.9,208013
26.4,111576
22.0,209279
25.4,200218
31.9,105938
21.2,208010
21.3,207494
25.0,200259
21.0,209405
31.9,105938
29.0,123921
21.2,208010
22.1,206748
21.3,207494
22.6,208169
25.0,200259
33.9,105487
21.9,209260
27.1,144870
22.0,208882
22.8,202058
33.9,105487
21.9,209260
32.0,105911
27.1,144870
31.8,105952
22.0,208882
31.3,106065
34.1,105449
22.1,207182
26.5,134457
32.5,105815
22.0,209279
34.1,105449
22.1,207182
34.0,105477
26.5,134457
32.5,105815
36.4,105011
23.3,200384
27.8,126409
26.7,202195
33.1,105676
23.3,200384
32.8,105732
22.1,206748
27.8,126409
26.7,202195
20.3,102093
33.1,105676
29.9,106298
26.5,134457
27.8,106423
34.2,105430
21.2,208260
21.7,207925
26.5,134457
27.8,106423
20.6,208278
34.2,105430
22.0,209279
22.3,209113
21.2,208260
24.6,200116
27.6,123755
22.9,208363
28.7,131934
24.6,200116
30.6,106198
27.6,123755
23.3,207681
25.9,200335
22.9,208363
28.7,131934
29.7,106329
33.1,105676
26.7,202195
24.8,133430
24.6,200267
27.9,133835
33.1,105676
21.3,208010
26.7,202195
23.3,200384
24.8,133430
24.6,200267
22.1,206748
27.9,126409
27.0,124186
26.6,200240
22.2,206748
26.7,202195
27.9,126409
27.0,124186
25.9,127760
28.6,109739
26.6,200240
31.7,106000
22.2,206748
21.7,207925
25.4,206499
25.8,200587
22.2,207182
21.7,207925
26.8,117360
25.4,206499
21.2,208260
25.8,133297
25.8,200587
20.7,208854
22.2,207182
25.9,200335
24.8,144895
23.3,207681
22.9,208363
22.2,207678
25.9,200335
22.8,207799
24.8,144895
26.9,126504
23.3,207681
22.9,208363
25.5,144821
21.8,207925
22.1,209279
25.4,206499
26.1,111581
21.8,207925
31.7,106005
22.1,209279
21.2,208260
23.0,208014
25.4,206499
28.4,106415
26.1,111581
23.3,207830
28.7,109739
21.5,209070
32.0,105916
23.3,207830
35.8,105138
19.7,209414
28.7,109739
22.2,206748
21.5,209070
32.0,105916
37.6,104755
22.0,208882
26.2,144684
22.2,207678
24.8,144895
23.3,207681
22.0,208882
26.2,144684
33.9,105487
22.2,207678
24.8,207130
26.4,123961
24.8,144895
23.9,205734
30.0,106298
19.0,209992
31.5,106045
20.7,208278
26.6,134457
25.9,127760
26.6,111805
31.7,106005
19.9,210319
33.2,105676
27.9,126409
23.9,205734
30.1,106281
30.0,106298
22.0,208004
19.0,209992
34.0,105487
31.5,106045
22.2,207182
29.0,133975
20.7,208278
24.8,200514
26.6,134457
25.9,127760
21.2,208260
26.5,111576
26.6,111805
31.7,106005
19.9,210319
28.8,131934
20.5,208134
33.2,105676
26.2,144684
27.9,126409
24.0,205734
22.2,207182
22.1,208004
25.9,127760
31.5,106043
19.7,209409
28.8,131934
24.9,200443
25.5,206499
22.6,206909
26.7,200240
35.9,105138
24.0,205734
27.9,126409
28.4,106415
