winner_age,winner_id,year
23.2,207830,2024
31.9,105902,2024
27.5,111454,2024
19.3,210506,2024
30.3,106233,2024
25.7,127760,2024
23.2,207830,2024
25.3,206499,2024
29.8,106296,2024
31.9,105902,2024
27.5,123755,2024
27.5,111454,2024
19.3,210506,2024
31.3,106043,2024
30.3,106233,2024
22.0,206748,2024
25.7,127760,2024
26.6,202195,2024
30.9,106121,2024
27.5,144817,2024
29.9,106281,2024
26.4,126964,2024
27.5,123828,2024
22.5,202261,2024
27.5,144817,2024
29.9,106281,2024
21.9,208882,2024
26.4,126964,2024
21.9,209279,2024
28.4,126239,2024
24.7,200443,2024
31.0,106109,2024
23.0,207680,2024
20.5,210317,2024
28.4,126239,2024
24.7,200443,2024
26.9,126523,2024
31.0,106109,2024
23.6,202354,2024
23.8,205734,2024
23.0,207680,2024
19.3,210506,2024
26.6,126214,2024
26.9,124186,2024
19.6,209414,2024
19.5,211638,2024
19.3,210506,2024
24.1,200516,2024
26.6,126214,2024
26.9,124186,2024
31.6,106005,2024
19.6,209414,2024
26.6,144719,2024
26.8,144826,2024
28.1,126106,2024
22.9,207213,2024
18.4,209976,2024
21.6,207925,2024
28.9,133975,2024
24.5,144973,2024
24.2,200436,2024
20.5,208659,2024
27.5,144817,2024
27.8,126409,2024
26.6,202195,2024
23.3,200384,2024
23.2,202320,2024
22.6,208021,2024
26.8,144750,2024
25.9,200335,2024
23.6,207411,2024
30.5,109686,2024
24.5,200116,2024
23.0,208859,2024
24.7,200610,2024
30.7,106177,2024
26.5,200240,2024
25.3,206499,2024
26.5,126964,2024
22.8,209262,2024
20.6,208278,2024
33.1,105676,2024
28.9,126129,2024
32.8,105732,2024
22.3,209113,2024
30.5,106198,2024
21.9,208004,2024
31.8,105943,2024
18.3,210150,2024
20.4,209098,2024
20.1,209406,2024
26.6,117357,2024
21.1,208260,2024
31.4,106045,2024
25.8,127760,2024
23.2,200484,2024
28.7,109303,2024
32.3,105836,2024
29.8,106310,2024
31.6,106000,2024
22.1,206748,2024
20.4,208134,2024
22.9,208013,2024
30.7,106167,2024
24.6,200267,2024
26.1,144684,2024
34.5,105357,2024
19.3,210399,2024
26.4,111576,2024
22.0,209279,2024
29.2,123983,2024
22.6,208233,2024
22.1,207182,2024
29.9,106293,2024
28.6,131934,2024
25.4,200218,2024
23.2,207681,2024
26.8,144826,2024
18.4,209976,2024
21.6,207925,2024
24.5,144973,2024
20.5,208659,2024
27.8,126409,2024
23.3,200384,2024
26.8,144750,2024
23.6,207411,2024
24.5,200116,2024
24.7,200610,2024
26.5,200240,2024
25.3,206499,2024
20.6,208278,2024
33.1,105676,2024
22.3,209113,2024
21.9,208004,2024
18.3,210150,2024
20.1,209406,2024
26.6,117357,2024
25.8,127760,2024
28.7,109303,2024
29.8,106310,2024
22.1,206748,2024
22.9,208013,2024
24.6,200267,2024
26.1,144684,2024
26.4,111576,2024
22.0,209279,2024
22.1,207182,2024
28.6,131934,2024
25.4,200218,2024
18.4,209976,2024
21.6,207925,2024
27.8,126409,2024
26.8,144750,2024
23.6,207411,2024
26.5,200240,2024
25.3,206499,2024
33.1,105676,2024
18.3,210150,2024
26.6,117357,2024
25.8,127760,2024
22.1,206748,2024
22.9,208013,2024
26.4,111576,2024
22.0,209279,2024
25.4,200218,2024
31.9,105938,2024
21.2,208010,2024
21.3,207494,2024
25.0,200259,2024
21.0,209405,2024
31.9,105938,2024
29.0,123921,2024
21.2,208010,2024
22.1,206748,2024
21.3,207494,2024
22.6,208169,2024
25.0,200259,2024
33.9,105487,2024
21.9,209260,2024
27.1,144870,2024
22.0,208882,2024
22.8,202058,2024
33.9,105487,2024
21.9,209260,2024
32.0,105911,2024
27.1,144870,2024
31.8,105952,2024
22.0,208882,2024
31.3,106065,2024
34.1,105449,2024
22.1,207182,2024
26.5,134457,2024
32.5,105815,2024
22.0,209279,2024
34.1,105449,2024
22.1,207182,2024
34.0,105477,2024
26.5,134457,2024
32.5,105815,2024
36.4,105011,2024
23.3,200384,2024
27.8,126409,2024
26.7,202195,2024
33.1,105676,2024
23.3,200384,2024
32.8,105732,2024
22.1,206748,2024
27.8,126409,2024
26.7,202195,2024
20.3,102093,2024
33.1,105676,2024
29.9,106298,2024
26.5,134457,2024
27.8,106423,2024
34.2,105430,2024
21.2,208260,2024
21.7,207925,2024
26.5,134457,2024
27.8,106423,2024
20.6,208278,2024
34.2,105430,2024
22.0,209279,2024
22.3,209113,2024
21.2,208260,2024
24.6,200116,2024
27.6,123755,2024
22.9,208363,2024
28.7,131934,2024
24.6,200116,2024
30.6,106198,2024
27.6,123755,2024
23.3,207681,2024
25.9,200335,2024
22.9,208363,2024
28.7,131934,2024
29.7,106329,2024
33.1,105676,2024
26.7,202195,2024
24.8,133430,2024
24.6,200267,2024
27.9,133835,2024
33.1,105676,2024
21.3,208010,2024
26.7,202195,2024
23.3,200384,2024
24.8,133430,2024
24.6,200267,2024
22.1,206748,2024
27.9,126409,2024
27.0,124186,2024
26.6,200240,2024
22.2,206748,2024
26.7,202195,2024
27.9,126409,2024
27.0,124186,2024
25.9,127760,2024
28.6,109739,2024
26.6,200240,2024
31.7,106000,2024
22.2,206748,2024
21.7,207925,2024
25.4,206499,2024
25.8,200587,2024
22.2,207182,2024
21.7,207925,2024
26.8,117360,2024
25.4,206499,2024
21.2,208260,2024
25.8,133297,2024
25.8,200587,2024
20.7,208854,2024
