winner_hand,winner_ht,winner_age
R,183.0,29.7
R,183.0,19.2
L,185.0,34.0
R,191.0,24.5
R,193.0,26.1
R,183.0,29.0
R,184.961402503105,31.3
L,175.0,19.9
R,183.0,19.2
L,185.0,34.0
R,188.0,22.2
R,193.0,22.4
L,203.0,19.8
L,175.0,19.9
R,168.0,24.5
R,180.0,24.6
R,185.0,35.8
R,185.0,33.2
R,203.0,20.0
L,183.0,30.5
R,191.0,19.8
R,198.0,22.7
L,180.0,19.6
R,196.0,30.7
R,183.0,26.8
R,180.0,28.9
R,170.0,22.4
L,185.0,34.0
L,183.0,26.1
R,185.0,31.6
R,168.0,24.5
R,185.0,35.8
R,203.0,20.0
R,198.0,22.7
L,180.0,19.6
R,183.0,26.8
L,185.0,34.0
L,183.0,26.1
R,185.0,35.8
R,203.0,20.0
R,183.0,26.8
L,185.0,34.0
R,185.0,35.8
L,185.0,34.0
R,185.0,35.8
R,188.0,24.2
L,183.0,20.8
R,184.961402503105,27.6
R,188.0,28.2
R,188.0,29.8
R,180.0,35.9
R,178.0,31.0
R,188.0,23.4
R,180.0,24.0
L,178.0,30.5
R,198.0,30.0
R,203.0,19.7
R,188.0,29.8
R,180.0,35.9
R,188.0,23.4
R,180.0,24.0
L,193.0,21.2
R,188.0,23.4
L,188.0,17.9
R,191.0,25.3
R,193.0,30.1
R,193.0,25.5
R,203.0,19.7
R,188.0,29.8
L,180.0,28.9
R,184.961402503105,31.6
R,178.0,31.0
R,196.0,26.8
R,178.0,23.0
R,178.0,22.4
R,185.0,21.9
L,193.0,21.2
R,188.0,23.4
R,191.0,25.3
R,203.0,19.7
L,180.0,28.9
R,184.961402503105,31.6
R,196.0,26.8
R,185.0,21.9
R,188.0,23.4
R,191.0,25.3
L,180.0,28.9
R,196.0,26.8
R,191.0,25.3
L,180.0,28.9
R,191.0,25.3
R,178.0,20.5
R,173.0,23.3
R,180.0,24.4
R,188.0,28.1
R,193.0,23.9
R,175.0,24.8
L,184.961402503105,21.1
R,188.0,22.4
R,184.961402503105,21.4
R,191.0,23.1
R,183.0,24.3
R,193.0,24.6
R,178.0,20.5
R,180.0,24.4
R,175.0,24.8
R,188.0,22.4
R,184.961402503105,21.4
R,193.0,24.6
R,185.0,27.1
L,188.0,26.3
R,178.0,23.3
R,178.0,25.9
R,178.0,29.4
L,185.0,20.5
R,188.0,22.4
R,185.0,24.3
R,178.0,20.7
R,178.0,29.4
R,178.0,26.0
R,193.0,25.3
R,180.0,30.0
R,180.0,23.5
R,196.0,22.8
R,180.0,23.7
L,188.0,26.3
R,178.0,25.9
L,185.0,20.5
R,188.0,22.4
R,178.0,20.7
R,193.0,25.3
R,180.0,23.5
R,196.0,22.8
R,178.0,25.9
L,185.0,20.5
R,178.0,20.7
R,196.0,22.8
R,178.0,25.9
R,178.0,20.7
R,178.0,25.9
L,183.0,32.8
R,185.0,21.1
R,185.0,33.7
R,201.0,26.6
R,183.0,28.8
R,180.0,30.8
R,188.0,23.9
L,183.0,28.6
R,185.0,21.1
R,201.0,26.6
R,183.0,28.8
L,183.0,28.6
R,183.0,20.9
R,183.0,26.5
R,193.0,29.0
R,180.0,29.7
R,185.0,19.5
R,178.0,25.8
R,198.0,24.6
R,185.0,29.6
R,183.0,20.9
R,193.0,29.0
R,185.0,19.5
R,185.0,29.6
R,196.0,23.8
R,185.0,19.0
R,178.0,28.1
R,183.0,24.4
R,196.0,27.9
R,191.0,32.0
R,193.0,28.3
R,185.0,26.0
R,185.0,19.0
R,178.0,28.1
R,191.0,32.0
R,185.0,26.0
R,178.0,33.4
R,185.0,24.1
R,188.0,19.9
R,193.0,22.0
R,180.0,24.9
L,183.0,33.3
R,184.961402503105,31.9
L,191.0,24.1
R,185.0,24.1
R,188.0,19.9
L,183.0,33.3
L,191.0,24.1
L,183.0,30.5
R,193.0,27.9
R,185.0,35.8
R,183.0,27.1
R,178.0,25.3
R,198.0,22.7
R,185.0,26.5
R,183.0,26.8
L,183.0,30.5
R,183.0,27.1
R,178.0,25.3
R,185.0,26.5
R,175.0,31.1
R,180.0,21.9
R,180.0,30.0
R,175.0,22.4
R,183.0,30.6
R,175.0,24.9
R,183.0,28.3
R,191.0,24.6
R,180.0,21.9
R,180.0,30.0
R,183.0,30.6
R,191.0,24.6
